Designator,Mid X,Mid Y,Rotation,Layer
D1,131.953,-52.07,270.0,bottom
D2,136.144,-52.07,270.0,bottom
J1,133.048,-34.798,180.0,top
J10,122.174,-52.07,90.0,bottom
J11,148.336,-70.104,0.0,bottom
J12,162.046,-70.072,0.0,bottom
J13,127.941,-69.063,0.0,top
J2,133.112,-34.798,180.0,bottom
J3,147.59,-34.904,180.0,bottom
J4,147.59,-34.996,180.0,top
J5,148.32,-68.474,0.0,top
J6,162.036,-68.474,0.0,top
J7,161.846,-34.996,180.0,top
J8,174.554,-44.45,90.0,top
J9,174.554,-57.912,90.0,top
LED1,158.115,-46.858,270.0,top
MOD1,139.65682,-61.15812,90.0,top
R1,145.034,-57.658,0.0,top
R2,152.654,-54.356,180.0,top
SW1,145.34,-46.01,0.0,top
